text,intent
гугл выключи быстро,close_app
гугл выключи мне надо,close_app
гугл выключи плиз,close_app
гугл давай закрой,close_app
гугл давай закрой быстро,close_app
гугл давай закрой мне надо,close_app
гугл давай закрой плиз,close_app
гугл давай закрой пожалуйста,close_app
гугл давай закрой сейчас,close_app
гугл давай закрой срочно,close_app
гугл давай зкрой срочно,close_app
гугл заверши,close_app
гугл заверши мне надо,close_app
гугл заверши плиз,close_app
гугл заверши срочно,close_app
гугл закрой,close_app
гугл закрой быстро,close_app
гугл закрой мне надо,close_app
гугл закрой плиз,close_app
гугл закрой пожалуйста,close_app
гугл закрой сейчас,close_app
гугл зкрой сейчас,close_app
гугл можешь завершить,close_app
гугл можешь завершить быстро,close_app
гугл можешь завершить плиз,close_app
гугл можешь завершить пожалуйста,close_app
гугл можешь завешить сейчас,close_app
гугл можешь завршить мне надо,close_app
гугл можешь завршить сейчас,close_app
гугл можешь закрыть,close_app
гугл можешь закрыть быстро,close_app
гугл можешь закрыть плиз,close_app
гугл можешь закрыть срочно,close_app
гугл хом можешь закрыть,close_app
гугл хрм давай закрой плиз,close_app
гугл хрм давай закрой сейчас,close_app
гугл хро можешь завершить мне надо,close_app
гугл хро можешь закрыть,close_app
гугл хром выключи,close_app
гугл хром выключи быстро,close_app
гугл хром выключи мне надо,close_app
гугл хром выключи пожалуйста,close_app
гугл хром выключи сейчас,close_app
гугл хром выключи срочно,close_app
гугл хром давай закрой,close_app
гугл хром давай закрой быстро,close_app
гугл хром давай закрой плиз,close_app
гугл хром давай закрой сейчас,close_app
гугл хром давай закрой срочно,close_app
гугл хром заверши,close_app
гугл хром заверши быстро,close_app
гугл хром заверши плиз,close_app
гугл хром заверши сейчас,close_app
гугл хром заверши срочно,close_app
гугл хром закрой,close_app
гугл хром закрой плиз,close_app
гугл хром закрой пожалуйста,close_app
гугл хром закрой срочно,close_app
гугл хром можешь завершить,close_app
гугл хром можешь завершить быстро,close_app
гугл хром можешь завершить мне надо,close_app
гугл хром можешь завершить сейчас,close_app
гугл хром можешь завешить,close_app
гугл хром можешь закрыть,close_app
гугл хром можешь закрыть быстро,close_app
гугл хром можешь закрыть мне надо,close_app
гугл хром можешь закрыть плиз,close_app
гугл хром можешь закрыть сейчас,close_app
давай закрй гугл,close_app
давай закрй гугл быстро,close_app
давай закрой chrome,close_app
давай закрой chrome плиз,close_app
давай закрой chrome пожалуйста,close_app
давай закрой chrome срочно,close_app
давай закрой google chrome,close_app
давай закрой google chrome быстро,close_app
давай закрой google chrome мне надо,close_app
давай закрой google chrome пожалуйста,close_app
давай закрой google chrome сейчас,close_app
давай закрой браузер,close_app
давай закрой браузер мне надо,close_app
давай закрой браузер пожалуйста,close_app
давай закрой браузер срочно,close_app
давай закрой гугл,close_app
давай закрой гугл плиз,close_app
давай закрой гугл пожалуйста,close_app
давай закрой гугл сейчас,close_app
давай закрой гугл хро,close_app
давай закрой гугл хром,close_app
давай закрой гугл хром быстро,close_app
давай закрой гугл хром мне надо,close_app
давай закрой гугл хром пожалйста,close_app
давай закрой гугл хром сейчас,close_app
давай закрой хрм срочно,close_app
давай закрой хром,close_app
давай закрой хром быстро,close_app
давай закрой хром пожалуйста,close_app
давай закрой хром сейчас,close_app
давай зкрой chrome срочно,close_app
давай зкрой браузер,close_app
давай зкрой гугл хром,close_app
давай зкрой хром сейчас,close_app
заверши chrome,close_app
заверши chrome плиз,close_app
заверши chrome пожалуйста,close_app
заверши google chrome,close_app
заверши google chrome мне надо,close_app
заверши google chrome плиз,close_app
заверши google chrome пожалуйста,close_app
заверши google chrome срочно,close_app
заверши браузер,close_app
заверши браузер мне надо,close_app
заверши браузер срочно,close_app
заверши гугл,close_app
заверши гугл быстро,close_app
заверши гугл мне надо,close_app
заверши гугл пожалуйста,close_app
заверши гугл сейчас,close_app
заверши гугл хро,close_app
заверши гугл хром,close_app
заверши гугл хром мне надо,close_app
заверши гугл хром пожалуйста,close_app
заверши раузер,close_app
заверши хром,close_app
заверши хром быстро,close_app
заверши хром пожалуйста,close_app
заверши хром сейчас,close_app
завеши chrome,close_app
завеши гугл хром мне надо,close_app
заврши chrome пожалуйста,close_app
заврши гугл,close_app
заврши гугл мне надо,close_app
закрй google chrome,close_app
закрй google chrome мне надо,close_app
закрой chrome,close_app
закрой chrome мне надо,close_app
закрой chrome пожалуйста,close_app
закрой chrome сейчас,close_app
закрой chrome срочно,close_app
закрой google chrome,close_app
закрой google chrome мне надо,close_app
закрой google chrome плиз,close_app
закрой google chrome пожалуйста,close_app
закрой google chrome срочно,close_app
закрой браузер,close_app
закрой браузер мне надо,close_app
закрой браузер плиз,close_app
закрой браузер сейчас,close_app
закрой браузер срочно,close_app
закрой брузер,close_app
закрой гугл,close_app
закрой гугл быстро,close_app
закрой гугл мне надо,close_app
закрой гугл плиз,close_app
закрой гугл пожалуйста,close_app
закрой гугл сейчас,close_app
закрой гугл срочно,close_app
закрой гугл хром,close_app
закрой гугл хром мне надо,close_app
закрой гугл хром плиз,close_app
закрой гугл хром пожалуйста,close_app
закрой гугл хром срочно,close_app
закрой хром,close_app
закрой хром быстро,close_app
закрой хром мне надо,close_app
закрой хром плиз,close_app
закрой хром пожалуйста,close_app
закрой хром сейчас,close_app
зкрой chrome срочно,close_app
зкрой google chrome,close_app
зкрой google chrome сейчас,close_app
зкрой браузер,close_app
зкрой гугл быстро,close_app
зкрой гугл плиз,close_app
мне надо выключи chrome,close_app
мне надо выключи chrome быстро,close_app
мне надо выключи браузер,close_app
мне надо выключи браузер быстро,close_app
мне надо выключи гугл,close_app
мне надо выключи хром быстро,close_app
мне надо давай закрй google chrome,close_app
мне надо давай закрой chrome,close_app
мне надо давай закрой chrome срочно,close_app
мне надо давай закрой google chrome,close_app
мне надо давай закрой браузер,close_app
мне надо давай закрой гугл,close_app
мне надо давай закрой гугл хром,close_app
мне надо давай закрой гугл хром плиз,close_app
мне надо заверши chrome быстро,close_app
мне надо заверши google chrome плиз,close_app
мне надо заверши браузер,close_app
мне надо заверши браузер мне надо,close_app
мне надо заверши браузер плиз,close_app
мне надо заверши гугл,close_app
мне надо заверши гугл быстро,close_app
мне надо заверши гугл хром,close_app
мне надо заверши гугл хром быстро,close_app
мне надо заверши хром пжалуйста,close_app
мне надо заверши хром сейчас,close_app
мне надо закрой браузер срочно,close_app
мне надо закрой гугл сейчас,close_app
мне надо закрой гугл хром,close_app
мне надо закрой гугл хром быстро,close_app
мне надо закрой хром,close_app
мне надо закрой хром быстро,close_app
мне надо можешь завершить chrome,close_app
мне надо можешь завершить google chrome,close_app
мне надо можешь завершить браузер,close_app
мне надо можешь завершить гугл,close_app
мне надо можешь завершить гугл плиз,close_app
мне надо можешь завершить гугл хром,close_app
мне надо можешь завершить гугл хром плиз,close_app
мне надо можешь завершить гугл хром срочно,close_app
мне надо можешь завершить хром плиз,close_app
мне надо можешь завршить хром срочно,close_app
мне надо можешь закрыть chrome,close_app
мне надо можешь закрыть chrome мне надо,close_app
мне надо можешь закрыть chrome срочно,close_app
мне надо можешь закрыть google chrome,close_app
мне надо можешь закрыть браузер,close_app
мне надо можешь закрыть гугл,close_app
мне надо можешь закрыть гугл быстро,close_app
мне надо можешь закрыть гугл хром,close_app
мне надо можешь закрыть гугл хром мне надо,close_app
можешь завершить chrome,close_app
можешь завершить chrome быстро,close_app
можешь завершить chrome мне надо,close_app
можешь завершить chrome сейчас,close_app
можешь завершить chrome срочно,close_app
можешь завершить google chrome,close_app
можешь завершить google chrome быстро,close_app
можешь завершить google chrome мне надо,close_app
можешь завершить google chrome плиз,close_app
можешь завершить google chrome пожалуйста,close_app
можешь завершить google chrome сейчас,close_app
можешь завершить браузер,close_app
можешь завершить браузер быстро,close_app
можешь завершить браузер плиз,close_app
можешь завершить браузер срочно,close_app
можешь завершить гугл,close_app
можешь завершить гугл мне надо,close_app
можешь завершить гугл плиз,close_app
можешь завершить гугл пожалуйста,close_app
можешь завершить гугл сейчас,close_app
можешь завершить гугл срочно,close_app
можешь завершить гугл хрм сейчас,close_app
можешь завершить гугл хром,close_app
можешь завершить гугл хром быстро,close_app
можешь завершить гугл хром пожалуйста,close_app
можешь завершить гугл хром пожалуста,close_app
можешь завершить гугл хром срочно,close_app
можешь завершить хрм быстро,close_app
можешь завершить хром,close_app
можешь завершить хром быстро,close_app
можешь завершить хром пожалуйста,close_app
можешь завершить хром сейчас,close_app
можешь завершить хром срочно,close_app
можешь завешить chrome,close_app
можешь завешить google chrome,close_app
можешь завешить браузер,close_app
можешь завешить гугл мне надо,close_app
можешь завешить гугл хром плиз,close_app
можешь завешить хром,close_app
можешь завршить гугл хром быстро,close_app
можешь завршить хром пожалуйста,close_app
можешь закрыть chrome,close_app
можешь закрыть chrome плиз,close_app
можешь закрыть google chrome,close_app
можешь закрыть google chrome плиз,close_app
можешь закрыть google chrome пожалуйста,close_app
можешь закрыть google chrome сейчас,close_app
можешь закрыть google chrome срочно,close_app
можешь закрыть браузер,close_app
можешь закрыть браузер мне надо,close_app
можешь закрыть браузер плиз,close_app
можешь закрыть браузер пожалуйста,close_app
можешь закрыть браузер сейчас,close_app
можешь закрыть браузер срочно,close_app
можешь закрыть браузр мне надо,close_app
можешь закрыть гугл,close_app
можешь закрыть гугл быстро,close_app
можешь закрыть гугл сейчас,close_app
можешь закрыть гугл срочно,close_app
можешь закрыть гугл хом,close_app
можешь закрыть гугл хрм мне надо,close_app
можешь закрыть гугл хром,close_app
можешь закрыть гугл хром плиз,close_app
можешь закрыть гугл хром пожалйста,close_app
можешь закрыть гугл хром пожалуйста,close_app
можешь закрыть гугл хром сейчас,close_app
можешь закрыть раузер,close_app
можешь закрыть раузер мне надо,close_app
можешь закрыть хро,close_app
можешь закрыть хром,close_app
можешь закрыть хром быстро,close_app
можешь закрыть хром срочно,close_app
плиз выключи гугл хром,close_app
плиз выключи гугл хром сейчас,close_app
плиз выключи хром,close_app
плиз вылючи chrome,close_app
плиз вылючи chrome пожалуйста,close_app
плиз давай закрй google chrome мне надо,close_app
плиз давай закрой google chrome,close_app
плиз давай закрой google chrome мне надо,close_app
плиз давай закрой браузер,close_app
плиз давай закрой браузер быстро,close_app
плиз давай закрой гугл хром,close_app
плиз давай закрой хром,close_app
плиз давай закрой хром быстро,close_app
плиз давай закрой хром мне надо,close_app
плиз заверши chrome,close_app
плиз заверши chrome пожалуйста,close_app
плиз заверши chrome сейчас,close_app
плиз заверши google chrome,close_app
плиз заверши брауер,close_app
плиз заверши браузер,close_app
плиз заверши гугл хром,close_app
плиз заверши гугл хром срочно,close_app
плиз заверши хром быстро,close_app
плиз завеши google chrome пожалуйста,close_app
плиз завеши гугл хром мне надо,close_app
плиз закрой chrome,close_app
плиз закрой google chrome быстро,close_app
плиз закрой браузер,close_app
плиз закрой браузер сейчас,close_app
плиз закрой гугл хром,close_app
плиз закрой хром,close_app
плиз закрой хром быстро,close_app
плиз зкрой хром плиз,close_app
плиз можешь завершить chrome,close_app
плиз можешь завершить chrome мне надо,close_app
плиз можешь завершить chrome плиз,close_app
плиз можешь завершить google chrome быстро,close_app
плиз можешь завершить браузер,close_app
плиз можешь завершить браузер плиз,close_app
плиз можешь завершить гугл,close_app
плиз можешь завершить гугл хром плиз,close_app
плиз можешь завершить гугл хром пожалуйста,close_app
плиз можешь завершить хром быстро,close_app
плиз можешь закрыть chrome плиз,close_app
плиз можешь закрыть google chrome,close_app
плиз можешь закрыть гугл,close_app
плиз можешь закрыть гугл хром,close_app
плиз можешь закрыть хром пожалуйста,close_app
пожалуйста выклчи chrome пожалуйста,close_app
пожалуйста выключи google chrome,close_app
пожалуйста выключи гугл,close_app
пожалуйста выключи гугл хром пожалуйста,close_app
пожалуйста выключи хром,close_app
пожалуйста выключи хром быстро,close_app
пожалуйста выключи хром плиз,close_app
пожалуйста давай закрой chrome,close_app
пожалуйста давай закрой chrome быстро,close_app
пожалуйста давай закрой google chrome,close_app
пожалуйста давай закрой браузер мне надо,close_app
пожалуйста давай закрой браузер сейчас,close_app
пожалуйста давай закрой гугл,close_app
пожалуйста давай закрой гугл быстро,close_app
пожалуйста давай закрой гугл пожалуйста,close_app
пожалуйста давай закрой гугл хром пожалуйста,close_app
пожалуйста давай зкрой хром сейчас,close_app
пожалуйста заверши chrome,close_app
пожалуйста заверши google chrome быстро,close_app
пожалуйста заверши google chrome плиз,close_app
пожалуйста заверши браузер,close_app
пожалуйста заверши браузер срочно,close_app
пожалуйста заверши гугл мне надо,close_app
пожалуйста заверши гугл хром,close_app
пожалуйста завеши браузер пожалуйста,close_app
пожалуйста закрй браузер быстро,close_app
пожалуйста закрой chrome пожалуйста,close_app
пожалуйста закрой браузер,close_app
пожалуйста закрой браузер мне надо,close_app
пожалуйста закрой гугл,close_app
пожалуйста закрой гугл мне надо,close_app
пожалуйста закрой гугл хром срочно,close_app
пожалуйста закрой хром,close_app
пожалуйста закрой хром пожалуйста,close_app
пожалуйста закрой хром сейчас,close_app
пожалуйста можешь завершить chrome мне надо,close_app
пожалуйста можешь завершить google chrome срочно,close_app
пожалуйста можешь завершить гугл,close_app
пожалуйста можешь завершить гугл быстро,close_app
пожалуйста можешь завершить гугл хром,close_app
пожалуйста можешь завершить гугл хром сейчас,close_app
пожалуйста можешь завершить гугл хром срочно,close_app
пожалуйста можешь закрыть google chrome,close_app
пожалуйста можешь закрыть браузер,close_app
пожалуйста можешь закрыть гугл хром,close_app
пожалуйста можешь закрыть гугл хром быстро,close_app
пожалуйста можешь закрыть хром,close_app
пожалуйста можешь закрыть хром пожалуйста,close_app
пожалуйста можешь закрыть хром срочно,close_app
пожалуйта можешь завершить гугл,close_app
раузер выключи,close_app
раузер заверши мне надо,close_app
раузер можешь закрыть мне надо,close_app
сейчас выключи chrome,close_app
сейчас выключи google chrome,close_app
сейчас выключи гугл,close_app
сейчас давай закрй google chrome,close_app
сейчас давай закрой chrome плиз,close_app
сейчас давай закрой google chrome срочно,close_app
сейчас давай закрой гугл срочно,close_app
сейчас давай закрой хро сейчас,close_app
сейчас давай закрой хром быстро,close_app
сейчас давай зкрой браузер срочно,close_app
сейчас заверши google chrome,close_app
сейчас заверши гугл,close_app
сейчас заверши гугл сейчас,close_app
сейчас заверши гугл хром,close_app
сейчас заверши гугл хром пожалуйста,close_app
сейчас заверши хром,close_app
сейчас закрой chrome,close_app
сейчас закрой google chrome,close_app
сейчас закрой google chrome плиз,close_app
сейчас закрой браузер,close_app
сейчас закрой хром,close_app
сейчас можешь завершить chrome,close_app
сейчас можешь завершить chrome пожалуйста,close_app
сейчас можешь завершить google chrome быстро,close_app
сейчас можешь завершить google chrome срочно,close_app
сейчас можешь завершить браузер мне надо,close_app
сейчас можешь завершить гугл,close_app
сейчас можешь завершить гугл пожалуйста,close_app
сейчас можешь завершить хром,close_app
сейчас можешь завршить хром плиз,close_app
сейчас можешь закрыть google chrome,close_app
сейчас можешь закрыть google chrome плиз,close_app
сейчас можешь закрыть google chrome сейчас,close_app
сейчас можешь закрыть google chrome срочно,close_app
сейчас можешь закрыть гугл,close_app
сейчас можешь закрыть гугл быстро,close_app
сейчас можешь закрыть гугл срочно,close_app
сейчас можешь закрыть гугл хрм мне надо,close_app
сейчас можешь закрыть гугл хром плиз,close_app
сейчас можешь закрыть гугл хром пожалуйста,close_app
сейчас можешь закрыть хром,close_app
срочно выклчи гугл сейчас,close_app
срочно выключи chrome,close_app
срочно выключи гугл быстро,close_app
срочно выключи гугл хом,close_app
срочно выключи гугл хром,close_app
срочно выключи гугл хром пожалуйста,close_app
срочно выключи хром,close_app
срочно выключи хром мне надо,close_app
срочно выкючи браузер,close_app
срочно выкючи гугл,close_app
срочно давай закрой chrome,close_app
срочно давай закрой chrome плиз,close_app
срочно давай закрой chrome сейчас,close_app
срочно давай закрой google chrome срочно,close_app
срочно давай закрой гугл,close_app
срочно давай закрой гугл хром,close_app
срочно давай закрой хом пожалуйста,close_app
срочно давай закрой хром,close_app
срочно заверши браузер,close_app
срочно заверши гугл,close_app
срочно заверши гугл мне надо,close_app
срочно заверши гугл хом,close_app
срочно заверши гугл хром срочно,close_app
срочно заверши хро быстро,close_app
срочно завеши chrome,close_app
срочно закрой chrome,close_app
срочно закрой google chrome,close_app
срочно закрой браузер,close_app
срочно закрой гугл плиз,close_app
срочно закрой гугл хром,close_app
срочно зкрой chrome,close_app
срочно можешь завершить google chrome,close_app
срочно можешь завершить google chrome быстро,close_app
срочно можешь завершить браузер,close_app
срочно можешь завершить гугл мне надо,close_app
срочно можешь завершить гугл хром,close_app
срочно можешь завершить хром,close_app
срочно можешь завешить google chrome плиз,close_app
срочно можешь завршить гугл,close_app
срочно можешь закрыть chrome пожалуйста,close_app
срочно можешь закрыть chrome сейчас,close_app
срочно можешь закрыть браузер,close_app
срочно можешь закрыть браузер сейчас,close_app
срочно можешь закрыть браузр,close_app
срочно можешь закрыть гугл,close_app
срочно можешь закрыть гугл хром,close_app
срочно можешь закрыть гугл хром срочно,close_app
срочно можешь закрыть хром,close_app
хом давай закрой быстро,close_app
хом можешь закрыть,close_app
хом можешь закрыть пожалуйста,close_app
хрм выключи,close_app
хрм можешь закрыть,close_app
хром выключи,close_app
хром выключи быстро,close_app
хром выключи срочно,close_app
хром давай закрой,close_app
хром давай закрой быстро,close_app
хром давай закрой мне надо,close_app
хром давай закрой срочно,close_app
хром заверши,close_app
хром заверши быстро,close_app
хром заверши сейчас,close_app
хром заверши срочно,close_app
хром закрй,close_app
хром закрой,close_app
хром закрой мне надо,close_app
хром закрой сейчас,close_app
хром закрой срочно,close_app
хром можешь завершить,close_app
хром можешь завершить быстро,close_app
хром можешь завершить пожалуйста,close_app
хром можешь завершить сейчас,close_app
хром можешь завершить срочно,close_app
хром можешь закрыть,close_app
хром можешь закрыть пожалуйста,close_app
хром можешь закрыть сейчас,close_app
chrome давай разверни,maximize_app
chrome давай разверни быстро,maximize_app
chrome давай разверни пожалуйста,maximize_app
chrome максимизирй,maximize_app
chrome максимизируй,maximize_app
chrome максимизируй срочно,maximize_app
chrome мксимизируй быстро,maximize_app
chrome можешь открыть на весь кран,maximize_app
chrome можешь открыть на весь экран,maximize_app
chrome можешь открыть на весь экран быстро,maximize_app
chrome можешь открыть на весь экран мне надо,maximize_app
chrome можешь открыть на весь экран плиз,maximize_app
chrome можешь открыть на весь экран срочно,maximize_app
chrome можешь развернуть,maximize_app
chrome можешь развернуть быстро,maximize_app
chrome можешь развернуть мне надо,maximize_app
chrome можешь развернуть плиз,maximize_app
chrome можешь развернуть срочно,maximize_app
chrome открой на весь экра,maximize_app
chrome открой на весь экра плиз,maximize_app
chrome открой на весь экран,maximize_app
chrome открой на весь экран мне надо,maximize_app
chrome открой на весь экран плиз,maximize_app
chrome открой на весь экран пожалуйста,maximize_app
chrome открой на весь экран сейчас,maximize_app
chrome отрой на весь экран,maximize_app
chrome развери,maximize_app
chrome разверни,maximize_app
chrome разверни быстро,maximize_app
chrome разверни сейчас,maximize_app
chrome разверни срочно,maximize_app
chrome разврни срочно,maximize_app
google chrome давай развери,maximize_app
google chrome давай разверни,maximize_app
google chrome давай разверни быстро,maximize_app
google chrome давай разверни пожалуйста,maximize_app
google chrome давай разврни сейчас,maximize_app
google chrome давай разерни,maximize_app
google chrome максиизируй,maximize_app
google chrome максимизирй,maximize_app
google chrome максимизируй,maximize_app
google chrome максимизируй плиз,maximize_app
google chrome максимизируй сейчас,maximize_app
google chrome можешь открыть на весь кран,maximize_app
google chrome можешь открыть на весь экра,maximize_app
google chrome можешь открыть на весь экра плиз,maximize_app
google chrome можешь открыть на весь экран,maximize_app
google chrome можешь открыть на весь экран пожалуйста,maximize_app
google chrome можешь открыть на весь экран сейчас,maximize_app
google chrome можешь развернуть,maximize_app
google chrome можешь развернуть пожалуйста,maximize_app
google chrome можешь развернуть сейчас,maximize_app
google chrome окрой на весь экран,maximize_app
google chrome открой на весь кран,maximize_app
google chrome открой на весь кран быстро,maximize_app
google chrome открой на весь кран плиз,maximize_app
google chrome открой на весь кран пожалуйста,maximize_app
google chrome открой на весь экран,maximize_app
google chrome открой на весь экран быстро,maximize_app
google chrome открой на весь экран плиз,maximize_app
google chrome открой на весь экран пожалуйста,maximize_app
google chrome открой на весь экран срочно,maximize_app
google chrome развери быстро,maximize_app
google chrome разверни,maximize_app
